# Open English WordNet 2024 (CC BY 4.0): antonym lemma pairs. See THIRD_PARTY.md
a_la_carte	prix_fixe
naif	sophisticated
narrow	wide
nastiness	niceness
nativeness	strangeness
natural	sharp
natural	supernatural
natural	unnatural
naturally	unnaturally
naturalness	unnaturalness
nay	yea
neap	springtide
necessarily	unnecessarily
necessary	unnecessary
necked	neckless
negative	neutral
negative	positive
negative_charge	positive_charge
negativeness	positiveness
negativism	positivism
negativity	positivity
nephew	niece
neurotic	unneurotic
neurotic_depression	psychotic_depression
neutral	positive
new	old
new	worn
newness	oldness
nidicolous	nidifugous
no	some
no	yes
no_longer	still
nobleman	noblewoman
noisily	quietly
noisy	quiet
nominal	real
nominative	oblique
non-market_economy	private_enterprise
non-proliferation	proliferation
non-volatile_storage	volatile_storage
nonparticulate	particulate
nonpartisan	partisan
nonpartisan	zealot
nonpasserine	passerine
nonphotosynthetic	photosynthetic
nonpolitical	political
nonporous	poriferous
nonpregnant	pregnant
nonprehensile	prehensile
nonprescription	prescription
nonprofessional	professional
nonproliferation	proliferation
nonproprietary	proprietary
nonpsychoactive	psychoactive
nonracial	racial
nonradioactive	radioactive
nonrandom	random
nonreflecting	reflective
nonreligious_person	religious_person
nonrenewable	renewable
nonrepetitive	repetitious
nonrepresentational	representational
nonrepresentative	representative
nonresident	occupier
nonresident	resident
nonresidential	residential
nonresonant	reverberant
nonreticulate	reticular
nonretractable	retractile
nonreturnable	returnable
nonreversible	reversible
nonrigid	rigid
nonruminant	ruminant
nonsectarian	sectarian
nonsignificant	significant
nonsingular_matrix	singular_matrix
nonslippery	slippery
nonsmoker	smoker
nonspatial	spacial
nonspeaking	speaking
nonspecific	specific
nonspherical	spherical
nonstandard	received
nonstandard	standard
nonsteroidal	steroidal
nonsubjective	subjective
nonsubmergible	submergible
nonsuppurative	suppurative
nonsurgical	surgical
nonsweet	sugary
nonsyllabic	syllabic
nontechnical	technical
nonterritorial	territorial
nonthermal	thermic
nontraditional	traditional
nontranslational	translational
nonuniformity	uniformity
nonunion	union
nonviolent	violent
nonviolently	violently
nonvolatile	volatile
nonvolatile_storage	volatile_storage
nonwashable	washable
nonwoody	woody
nonworker	worker
normal	paranormal
north	south
northern	southern
northernness	southernness
nosed	noseless
not_surprised	surprised
noticeable	unnoticeable
noticed	unnoticed
nowness	pastness
object_program	source_program
objectively	subjectively
oblate	prolate
obligated	unobligated
obligatorily	optionally
obligatory	optional
oblique	parallel
oblique	perpendicular
oblique_angle	right_angle
oblique_triangle	right-angled_triangle
obscurity	prominence
observe	offend
obstructed	unobstructed
obtrusively	unobtrusively
obtrusiveness	unobtrusiveness
obverse	reverse
obvious	unobvious
occidentalise	orientalise
occidentalize	orientalize
occupied	unoccupied
odorous	odourless
of_course	unnaturally
off	on
off-line	on-line
off-site	on-site
off-street	on-street
offending	unoffending
official	unofficial
officially	unofficially
offsaddle	saddle
offshore	onshore
offside	onside
offstage	onstage
oftentimes	rarely
oiled	unoiled
oldness	youngness
oleophilic	oleophobic
on_a_higher_floor	on_a_lower_floor
on_one_hand	on_the_other_hand
on_purpose	unintentionally
on_time	unpunctual
one-piece	three-piece
one-piece	two-piece
opacity	transparence
open	unopen
open	unreceptive
opening	shutting
oppa	unnie
opposed	unopposed
optimism	pessimism
optimist	pessimist
optimistic	pessimistic
optimistically	pessimistically
organized	unorganised
orientated	unoriented
original	unoriginal
originality	unoriginality
orthodox	unorthodox
ostentatious	unostentatious
other	same
out	safe
outbid	underbid
outer_garment	undergarment
over-the-counter_drug	prescription_medicine
overachievement	underachievement
overbid	underbid
overclothe	underdress
overestimate	underestimate
overexpose	underexpose
overhanded	underhanded
overhead	subsurface
overhead	surface
overpay	underpay
overshoot	undershoot
overspend	underspend
overstock	understock
overvalue	undervalue
oviparous	ovoviviparous
owned	ownerless
pack	take_out
packaged	unpackaged
paid	unpaid
pain	pleasance
painful	painless
painfully	painlessly
paintable	unpaintable
painted	unpainted
palatability	unpalatability
palatable	unpalatable
palatably	unpalatably
paper_loss	paper_profit
paradigmatic	syntagmatic
parallel	perpendicular
parallelogram	trapezium
pardonable	unpardonable
pardonably	unforgivably
parented	parentless
particular	universal
particular_proposition	universal_proposition
pass	running
passionate	passionless
past	present
patriotically	unpatriotically
patronised	patronless
patterned	plain
paved	unpaved
peace	state_of_war
peaceable	unpeaceful
pedunculate	sessile
penalty	reward
perceptive	unperceiving
perceptiveness	unperceptiveness
perinatal	postnatal
permissive	preventative
permissive	unpermissive
permissiveness	restrictiveness
perplexed	unperplexed
persuasiveness	unpersuasiveness
phase_in	phase_out
physical_contact	physical_distancing
pigeon-toed	splayfoot
pin	unpin
planned	unplanned
planted	unplanted
playable	unplayable
playful	sober
pleasant	unpleasant
pleasantness	unpleasantness
pleasingness	unpleasingness
pleasure-unpleasure_principle	reality_principle
ploughed	unbroken
plural	singular
point_of_apoapsis	point_of_periapsis
pointed	pointless
pointedness	unpointedness
polished	unpolished
political_correctitude	political_incorrectness
poor	rich
poor_people	rich_people
pop_in	pop_out
popular	unpopular
popularity	unpopularity
populated_area	rural_area
porosity	solidity
portable	unportable
posed	unposed
posteriority	precedency
postprandial	preprandial
postwar	prewar
potted	unpotted
powered	unpowered
powerful	powerless
precedented	unprecedented
precedentedly	unprecedentedly
preceding	succeeding
precocious	retarded
predictability	unpredictability
predictable	unpredictable
prefix	suffix
premeditated	unpremeditated
preparation	resolution
prepared	unprepared
presidential	unpresidential
pretentious	unpretentious
pretentiously	unpretentiously
preventable	unpreventable
priestlike	unpriestly
primary	secondary
principled	unprincipled
printable	unprintable
private	public
privately	publicly
privileged	underprivileged
pro-choice	pro-life
proactive	retroactive
processed	unprocessed
productive	unproductive
productively	unproductively
productiveness	unproductiveness
profane	sacred
professional	unprofessional
profitable	unprofitable
profitably	unprofitably
profound	superficial
profoundness	shallowness
progress	retreat
progressive	regressive
promptness	tardiness
pronation	supination
pronounceable	unpronounceable
prophetic	unprophetic
propitious	unpropitious
propitiously	unpropitiously
propitiousness	unpropitiousness
prospective	retrospective
protected	unprotected
protective	unprotective
proved	unproved
provocative	unprovocative
proximate	ultimate
publicised	suppressed
publishable	unpublishable
published	unpublished
puncturable	punctureless
punished	unpunished
punitive	rehabilitative
pure	unsaturated
purge	rehabilitate
purposeful	purposeless
qualified	unqualified
qualitative	quantitative
quantitative	syllabic
queen	rex
questionable	unquestionable
quiet	sound
quiet	unquiet
quiet	unquietly
quotable	unquotable
radial_asymmetry	radial_symmetry
radio-opaque	radiolucent
raggedness	smoothness
ravel	unravel
ravel_out	tangle
raze	rear
re-entrant	salient
reactive	unreactive
ready	unready
real	unreal
realistic	unrealistic
realistically	unrealistically
reality	unreality
reasonable	unreasonable
reassure	vex
reassuring	unreassuring
receive	say_farewell
recognizably	unrecognisable
reconstructed	unreconstructed
recto	verso
reentering_angle	salient_angle
refined	unrefined
reflected	unreflected
regenerate	unregenerate
registered	unregistered
regulated	unregulated
related	unrelated
relatedness	unrelatedness
relax	stiffen
relaxed	tense
relaxing	restless
reliability	unreliability
reliable	unreliable
reliableness	unreliableness
reliably	unreliably
religious	secular
remain_firm	soften
rentable	unrentable
repeatable	unrepeatable
repentant	unremorseful
repentantly	unrepentantly
reportable	unreportable
reported	unreported
represented	undelineated
requested	unrequested
require	rid_of
resentful	unresentful
reserved	unreserved
resolved	unresolved
respectability	unrespectability
respectable	unrespectable
responsive	unresponsive
rested	tired
restrained	unrestrained
restricted	unrestricted
restrictive	unrestrictive
retail	wholesale
retire	uprise
revived	unrenewed
rewarding	unrewarding
rh-negative	rh-positive
rhetorical	unrhetorical
rhymed	rhymeless
rhythmic	unrhythmic
ribbed	ribless
ride	walk
rifled	smoothbore
rigged	unrigged
right	wrong
righteous	unrighteous
righteously	unrighteously
righteousness	unrighteousness
rightfulness	wrongfulness
rightness	wrongness
rimless	rimmed
ripped	sober
rise	wane
rising_trot	sitting_trot
roll	wind_off
roll_up	unfurl
romantically	unromantically
roofed	roofless
rotor	stator
rough	smooth
roughen	smooth
running	standing
rural	urban
rusted	rustless
saddled	unsaddled
salable	unsalable
sanely	unreasonably
sanitariness	unsanitariness
saponified	unsaponified
sarcastic	unsarcastic
satisfactorily	unsatisfactorily
satisfactoriness	unsatisfactoriness
satisfactory	unsatisfactory
saturated	unsaturated
savory	unsavoury
scalable	unclimbable
scale_down	scale_up
scented	scentless
scheduled	unscheduled
scholarly	unscholarly
schoolbook	trade_edition
scientific	unscientific
scramble	unscramble
screw	unscrew
scripted	unscripted
scrupulous	unscrupulous
scrupulousness	unscrupulousness
seal	unseal
sealed	unsealed
seamanlike	unseamanlike
seamed	seamless
seasonable	unseasonable
seasonableness	unseasonableness
seasonably	unseasonably
seasonal	year-around
seasoned	unseasoned
seated	standing
seaworthy	unseaworthy
seductive	unseductive
seeded	unseeded
seedless	seedy
selected	unselected
self-consciously	unselfconsciously
self-consciousness	unselfconsciousness
self-seeking	unselfish
selfishly	unselfishly
selfishness	unselfishness
sensational	unsensational
sent	unsent
sentimentally	unsentimentally
separation	unification
september_equinox	spring_equinox
serviceable	unserviceable
servile	unservile
sessile	vagile
settled	unsettled
sexy	unsexy
shaded	unshaded
shapely	unshapely
shared	unshared
sharpen	soften
shaved	unshaved
sheared	unsheared
sheathe	unsheathe
shell-less	shelled
shod	unshod
shortness	tallness
shout	whisper
shrinkable	unshrinkable
shuttered	unshuttered
sickness	wellness
side	top
signed	unsigned
silenced	unsilenced
similitude	unlikeness
sink	source
sinkable	unsinkable
sit	stand
sitter	stander
sized	unsized
skilled	unskilled
skillfulness	unskillfulness
skim_milk	whole_milk
skinless	skinned
sleeping	waking
sleeved	sleeveless
slenderness	thickness
slip_off	slip_on
smart	stupid
smilingly	unsmilingly
smokeless	smoky
so-so	unacceptably
sociability	unsociability
sociable	unsociable
sociably	unsociably
social	unsocial
soft	surd
sold	unsold
soled	soleless
solvability	unsolvability
sonic	subsonic
sonic	supersonic
sorry	unregretful
sound	unsound
soundness	unsoundness
sour	sweet
soured	unsoured
spaced	unspaced
special_agent	universal_agent
specialised	unspecialised
specified	unspecified
spell	unspell
spineless	spinous
spirited	spiritless
spirituality	worldliness
split_ticket	straight_ticket
split_up	unify
spoken	written
sportingly	unsportingly
stable	unstable
stableness	unstableness
staged	unstaged
stained	unstained
staple	unstaple
starchless	starchy
starless	starry
start	stop
statesmanlike	unstatesmanlike
steadily	uncertainly
steadiness	unsteadiness
steady	unsteady
stemless	stemmed
stimulating	unexciting
stoppable	unstoppable
strain	unlax
strap	unstrap
stratified_language	unstratified_language
strength	weakness
strengthen	weaken
strengthening	weakening
string	unstring
strong	weak
strong_point	weak_point
strongly	weakly
structured	unstructured
stuck	unstuck
studied	uncontrived
subhuman	superhuman
subjacent	superjacent
submersible	surface_ship
subsonic	supersonic
subsurface	surface
successful	unsuccessful
successfully	unsuccessfully
suitability	unsuitableness
summerise	winterise
summery	vernal
summery	wintery
sundown	sunup
supervised	unsupervised
supported	unsupported
supportive	unsupportive
surprising	unsurprising
suspected	unsuspected
swept	unswept
sworn	unsworn
sympathetic	unsympathetic
systematic	unsystematic
taciturn	voluble
tactful	tactless
tactfully	tactlessly
tactfulness	tactlessness
talk_into	talk_out_of
tame	untamed
tame	wild
tangle	unscramble
tangled	untangled
tanned	untanned
tapped	untapped
tasteful	tasteless
tastefully	tastelessly
tastefulness	tastelessness
tasteless	tasty
technophile	technophobe
tempered	untempered
temporal	unworldly
tender	tough
tense	unbend
tense	unwind
terseness	verboseness
theatrical	untheatrical
thematic	unthematic
theoretically	through_empirical_observation
thermoplastic	thermoset
thick	thin
thickly	thinly
thickness	thinness
thinkable	unthinkable
thoughtful	thoughtless
thoughtfully	thoughtlessly
thoughtfulness	thoughtlessness
three-piece	two-piece
thrifty	wasteful
tidiness	untidiness
tidy	untidy
timbered	untimbered
time_off	work_time
timeliness	untimeliness
tipped	untipped
toed	toeless
toned	toneless
tongued	tongueless
toothed	toothless
topless	topped
touched	untouched
traceable	untraceable
tracked	trackless
trained	untrained
translatable	untranslatable
traveled	untraveled
treated	unhardened
treated	untreated
treeless	wooded
trick_out	underdress
troubled	untroubled
true	untruthful
trustiness	untrustiness
trustworthiness	untrustworthiness
trustworthy	untrustworthy
truthfully	untruthfully
truthfulness	untruthfulness
tubed	tubeless
tucked	untucked
tune	untune
turned	unturned
typical	untypical
understood	ununderstood
undo	wrap
unimpressionable	waxy
unmanageable	wieldy
unsoundness	wisdom
unusefulness	utility
unusual	usual
unusualness	usualness
unvaried	varied
unvariedness	variedness
unveil	veil
unveiled	veiled
unventilated	ventilated
unwanted	wanted
unwarily	warily
unwary	wary
unwaxed	waxed
unweaned	weaned
unwearable	wearable
unwebbed	webbed
unwelcome	welcome
unwholesome	wholesome
unwilling	willing
unwillingly	volitionally
unwire	wire
unwitting	witting
unworthiness	worthiness
unworthy	worthy
unwoven	woven
unwrapped	wrapped
unwrinkled	wrinkled
unwritten	written
unyoke	yoke
unzip	zipper
upwind	windward
useful	useless
usefully	uselessly
valgus	varus
valuable	worthless
vernal	wintery
virtuous	wicked
waning	waxing
weedless	weedy
weightless	weighty
wheeled	wheelless
wigged	wigless
winged	wingless
wired	wireless
yang	yin
